department,level,full_name,description,raw_precoreqs,offer_frequency,cross_listed,credit_hours,short_name,prerequisites,corequisites
ARTS,4280,3D Technical Direction,"In 3D Animation, the technical director (or ""TD"") covers roles including character rigging, lighting setup, custom tools, and other parts of the pipeline that involve the technical work needed to support artistic creativity.  In this course we will focus on rigging, covering basic and intermediate rigging techniques for characters in Maya including bipeds, facial rigs, motion capture and game engine pipelines and basic scripting in MEL and Python.  We will emphasize an animator-friendly approach to rig design, utilizing both the technical capabilities of Maya and good UI and UX principles to produce rigs that are both powerful and easy to use.",ARTS 2230,Fall term,,4,ARTS-4280,['ARTS-2230'],[]
ARTS,4380,Music and Sound II,"A continuation of studies in harmony, analysis, and ear-training. With an introduction to orchestration and 20th century techniques, the course will culminate with an original composition.",ARTS 2380.,Spring term annually.,,4,ARTS-4380,['ARTS-2380'],[]
ARTS,4390,Composition Seminar,"This seminar builds on skills acquired in the Music and Sound sequence. Through a series of exercises, students investigate sound as a medium for artistic expression while addressing the basics of orchestration, notation, and the development of musical and sonic ideas. Acoustic, electronic, and non-traditional contemporary approaches to composition will be explored, including performance, intermedia, and sound installation. The course culminates in a final composition project to be performed in an end of semester concert.",Prerequisites: ARTS 4380 or permission of instructor.,Fall or spring term annually,,4 (course can be repeated multiple times for additional credit),ARTS-4390,['ARTS-4380'],[]
ARTS,4420,Experimental Telepresence,"Experimental Telepresence investigates the INTERNET as an experimental venue for audio and video performance through improvisation and composition. Students will learn protocols for telepresence connections, connect with other institutions using a variety of media in local and co-located performances. The seminar multimedia ensemble Tintinnabulate will be used as a resource of projects.",,Spring term annually.,,4,ARTS-4420,[],[]
ARTS,4460,Animation Production,Animation Production is designed to give an animation industry experience by completing the entire process of creating an animated short. Learning long-term time management and finding the key time cost/benefits will be essential to success. The course schedule is setup to replicate the industry model of frequent updates and feedback – dailies.,ARTS 4060 or ARTS 4070.,Spring term annually.,,4 (repeatable for credit),ARTS-4460,"['ARTS-4060', 'ARTS-4070']",[]
ARTS,4500,Topics in the History and Analysis of Music,"This course illuminates specific musical works in depth, drawn from a range of periods and cultures, by analyzing them in their historical, cultural, and critical context. The emphasis is on music since 1900, while including coverage of older works, and on the creative choices made by composers working within particular genres and repertoires. Ability to read Western music notation is required.",Arts 4380 Music and Sound II or permission of instructor.,Fall term annually.,,4,ARTS-4500,[],[]
ARTS,4510,Experimental Game Design,"Experimental Game Design is an upper level studio arts course focusing on the creation of innovative, workable game prototypes using a variety of interactive multimedia. Games are considered as a new genre and are analyzed as cultural artifacts. The aesthetics of game design including character development, level design, game play experience, and delivery systems are covered. Flow, game theory, and game play gestalt are considered. Alternate gaming paradigms and emerging forms are encouraged.",ARTS 1020 or permission of instructor.,,GSAS 4510.,4,ARTS-4510,['ARTS-1020'],[]
ARTS,4560,Hactivism,"This course explores the history, methods, and goals of hackers with special attention paid to their role in social movements. It broadly interprets the term ""hacktivism"" to include computer hacking, media hacking and ""reality hacking"" in the service of social change. Students will gain an understanding of how and why hackers have emerged as a major social force.","Junior or senior standing, or permission of instructor.",Upon availability of instructor.,ARTS 6560 Hactivism.,4,ARTS-4560,[],[]
ARTS,4600,Ensemble Nonlinear,"A technology-based performance ensemble, as well as a practice-based studio course, focused on the composition, design, and programming of new musical works and instruments. Students create and perform electronic music using laptops, microprocessors, digital networks and a range of new interfaces for musical expression. ARTS 4600/6600 combines studio and ensemble. The ensemble only section (ARTS 2600) may be taken multiple times as a 1-credit performance ensemble in partial satisfaction of the Music major or minor ensemble requirements, or once as a 4-credit seminar at either the 4000 or 6000 level.",,Spring term annually.,ARTS 2600 and ARTS 6600.,4,ARTS-4600,[],[]
ARTS,4620,Exploring Movement and Sound,"The exploration of movement often reveals sensitivities concerning the body, identity, gesture, culture, sensory awareness, perception, space, orientation, kinesthesia, time, relationships to people and objects, as well as cultural notions of embodiment and the senses. This course employs practice-based work, creative experimentation, and traditional forms of research (reading, viewing media, writing, discussions) as the primary methods to illuminate the issues concerning enactive (movement) knowledge. This is a Deep Listening-related course.",,Fall term annually.,ARTS 6962.,4,ARTS-4620,[],[]
ARTS,4630,Writing and Directing for Video,"The course introduces students to the art of writing and directing short videos, with an emphasis on generating ideas, and realizing them in a well-developed final project. Major theories and principles are studied through a comparative analysis of scripts and films. Students learn to work with actors, write their own scripts, and direct videos. Two final projects – a script and a video – will integrate all of the elements covered in class. Lecture/Practicum.",Prerequisites: ARTS 1030 or permission of instructor.,Upon availability.,,4,ARTS-4630,['ARTS-1030'],[]
ARTS,4640,Science Fictions,"Science Fictions is an advanced narrative video production and theory course. The class looks at thematic areas of science fiction, utopia and dystopia, paranormal, and speculative fiction. 'Speculative fiction' is a genre that looks at the real world and extends what is known about it, building on the 'real.' The class has two threads: to study narrative structure and create a series of sci-fi videos; to discuss and analyze mainstream and avant-garde science fiction films and themes from the early 1900s to the present.","Prerequisite: ARTS 1020, ARTS 1030, ARTS 1040, ARTS 1200, ARTS 2020, ARTS 2380, ARTS 2220, IHSS 1030, IHSS 1040, IHSS 1170, IHSS 1180, ARTS 4120, ARTS 4140, or permission of instructor.",spring term annually,Cross listed with ARTS 6640; students cannot obtain credit for both courses.,4,ARTS-4640,"['ARTS-1020', 'ARTS-1030', 'ARTS-1040', 'ARTS-1200', 'ARTS-2020', 'ARTS-2380', 'ARTS-2220', 'IHSS-1030', 'IHSS-1040', 'IHSS-1170', 'IHSS-1180', 'ARTS-4120', 'ARTS-4140']",[]
ARTS,4700,Sound Recording and Production II,This course approaches the modern digital studio as a compositional environment for the development of the student's original creative projects. Engineering techniques will be explored through musical examples and hands-on projects.,ARTS 2700 Sound Recording and Production I.,Spring term annually.,,4,ARTS-4700,['ARTS-2700'],[]
ARTS,4840,Creative Seminar I,This course is for senior EMAC and EART majors and is the core creative forum for the development and presentation of the senior thesis. The course is the first part of a two-semester study provided in two seminar courses. The focus of the course is to develop a proposal for for a written thesis and a creative project that students will execute in the second seminar and exhibit in an exhibition.,Senior EMAC and EART majors only.,Fall term annually.,,4,ARTS-4840,[],[]
ARTS,4850,Creative Seminar II,"This course is for senior EMAC and EART majors. The goal of the Creative Seminar II is to develop and formulate ideas from Creative Seminar I into a unique project for the artists/communicator that will demonstrate his/her independent ideas, research, writing, and design skills. Students will develop a written thesis, creative project (e.g., art, graphic design, interaction design, music, performance), prepare and present their project in a public exhibition, and design the publicity for the show.","Creative Seminar I, senior EMAC and EART majors only.",Spring term annually.,,4,ARTS-4850,[],[]
ARTS,4860,Advanced Digital Imaging,"This upper level studio and seminar explores individual visual arts projects contributing to thesis or dissertation development. Topics in creative personal expression in imaging, installation, digital/traditional mixed media and emerging genres will be studied drawing from issues raised in class projects. Advanced studies may include high resolution digital photography, montage, archival printing, gesture drawing, painting, assemblage, processing, stencil art, projection, and evolving genres which lead to an independent final project and web portfolio.",Prerequisite: one related 2000-level arts course or permission of instructor.,Spring term annually.,Cross listed with ARTS 6860; students cannot obtain credit for both courses.,4,ARTS-4860,[],[]
ARTS,4870,Creative Data Design,"Data design offers a way to reveal, analyze, and engage with data, from scientific visualization to information design to artistic sonification. At the same time, the translation from abstract data to image and sound carries risks of manipulation and subjective interpretation. This course introduces contemporary practices in the perceptualizing of data using digital tools for creative exploration and critical analysis. It explores the evolution of visualization and the notion of truth through visual representation.",ARTS 1020 and CSCI 1100.,Spring term even-numbered years.,,4,ARTS-4870,"['ARTS-1020', 'CSCI-1100']",[]
ARTS,4880,Interdisciplinary Research Seminar,"This is a course introducing music majors to advanced research topics of the Rensselaer music faculty.  Each semester a member of the music faculty will focus the seminar on a research topic or paradigm related to their own body of artistic and technological research. Sample topics might include Spatial music and sound, New Instrument Design, Network Music, Music Information Retrieval, Ethnomusicology, Sonification Art and Science, Music and Logic, Spectralism and Beyond, Music Herstory (feminist music composition), Experimental music and sound history. Through hands-on creative research, students will explore questions of both musical and technological significance while engaging that same topic through their own hands-on creative practice.",ARTS 4380 and ARTS 4160 or permission of instructor.,Fall and spring terms annually.,,4,ARTS-4880,"['ARTS-4380', 'ARTS-4160']",[]
ARTS,4940,Studies in the Arts,Individual and collaborative projects and assignments at the 4000 level adapted to the needs of individual students.,,,,1 to 6,ARTS-4940,[],[]
ARTS,4960,Topics in the Arts,Experimental courses offered for one or two semesters.,,,,2 to 4,ARTS-4960,[],[]
ARTS,4990,B.S. EARTS Thesis,"The purpose of this course is to demonstrate the student's capacity for independent work integrating concepts and media from the full range of their studio, history, and theory studies. It is a project-based class, culminating in a written thesis paper and a public presentation of work determined by the student. This course may be taken multiple times, but is a requirement in the student's final two semesters.",Prerequisite: junior and senior EART majors only.,Fall and spring terms annually.,,4,ARTS-4990,[],[]
ARTS,6030,Multimedia Performance Systems,"Multimedia Performance Systems explores the composition and programming of real-time performance systems. The course will examine the basics of MIDI, sound synthesis, digital signal processing, and image/video manipulation. Final projects will consist of a real-time performance system or interactive installation.",,Fall term annually.,Cross listed with ARTS 4030.  Students cannot obtain credit for both courses.,4,ARTS-6030,[],[]
ARTS,6040,Rethinking Documentary: Video Production,"Rethinking Documentary is a graduate level production course in film and video. Taking a broad look at what defines ""documentary"" media, this course incorporates criticism with production to examine key issues in the discipline, such as truth versus fiction, personal responsibility, community involvement, the efficacy of video intervention and the authority of mass media. Students are required to produce a range of video works questioning conventional documentary styles, using radical and interventionist techniques to tell compelling or poetic stories.",Must be a graduate student.,Fall term annually.,ARTS 4040,4,ARTS-6040,[],[]
ARTS,6050,Advanced Data Analytics & Policy Evaluation,"The course is designed to help students continue to develop as media-makers/filmmakers. Students will work on short video projects that are shot in the studio and in the field. Studio experimentations, including projection work, multi-camera production, generating ideas, and realizing a well-developed final project. Students write their own scripts, learn new technical skills and direct videos.",,spring term annually,ARTS 4050,4,ARTS-6050,[],[]
ARTS,6080,Graduate Studio Critique,"Development and completion of individual creative projects with a focus on studio production, method, and process. Students are expected to foster an environment in which serious and sophisticated peer critique can take place.",Graduate standing.,Fall and spring terms annually.,,"3, repeatable with no maximum.",ARTS-6080,[],[]
ARTS,6090,Art and Code and Interactivity,"This course is primarily concerned with learning how to build any interactive experience or artwork from concept to completion. It will introduce open-source, cross-platform programming libraries and tools used by artists and programmers to create interactive experiences and artworks for museum installations, festivals, VJ-ing, projection mapping, interactive experiences/artworks, and more. Then, the course starts to address the questions: Is code an art form? What is interactive art? Is software art?",,Upon availability of instructor.,Cross listed with ARTS 4090; students cannot obtain credit for both courses.,4,ARTS-6090,[],[]
ARTS,6110,Electronic Arts Overview,"This seminar will provide a historical context for understanding and analyzing practices and theories of contemporary electronic art. The curriculum is a mix of field surveys, readings of primary sources in aesthetic, media and critical theory, and examination of contemporary topics and controversies. The seminar is also intended to support the development and articulation of the student's creative practice. Open to graduate students across the Institute.",Spring term annuallyPrerequisite: limited students of graduate standing.,Spring term annually.,,3,ARTS-6110,[],[]
ARTS,6120,Biopunk: Arts Lab Practice,"Biopunk: Arts Lab Practice is a studio, lab and lecture class introducing students to bioart, and microbial life and resilient ecological practices. We use punk, queer and biological laboratory techniques to creatively produce science, design and art works. Students will be required to complete readings, experiment, and create their own visions of a speculative biofuture. Emphasis will be on the history and contemporary investigations of the microbiome and how to culturally explore these scenarios of how we live amongst multiple diverse communities and species.",,,ARTS 4120,4,ARTS-6120,[],[]
ARTS,6130,New Media Theory,"This course asks what is really new about New Media, and looks at creative practices, theoretical discourses, and social contexts to find answers. The course concentrates on cutting edge cultural expression using information and communication technologies. The objective is to equip students with multiple perspectives — aesthetic, communications, historical — with which to analyze, critique, and develop original concepts about the uses of new media in art and culture.",,,Cross listed with ARTS 4130. Students cannot obtain credit for both courses.,4,ARTS-6130,[],[]
ARTS,6140,Queer Ecologies,"Queer Ecologies is an undergraduate and graduate arts course that uses art to think about our eco-futures. We will look at the disruptive nature of Cartesian thinking and binary positioning in relation to sexuality and ecologies. The ""queering"" is a means to refuse this binary thinking and consider expansive interdisciplinary practices that have evolved from LGBTQ+ and feminist theory, decolonial thinking, extinction and death studies, environmental justice, critiques of science and big pharma, biopolitics, bioethics, biology, science fiction, aesthetics, art and play.",,,ARTS 4140,4,ARTS-6140,[],[]
ARTS,6150,Media Watch,"This seminar is an investigation of the successes and failures of the news media, set within historical and contemporary contexts. The title ""media watch"" is intended to evoke a watch-dog approach found in independent media sources and organizations like human rights watch. Assignments involve analyzing how issues are portrayed in the media and students choose their topics according to their interests. The course can therefore enhance capstone, thesis, or dissertation work.",,Upon availability of instructor.,Cross listed with ARTS 4150.  Student cannot obtain credit for both courses.,4,ARTS-6150,[],[]
ARTS,6160,Advanced Computer Music Composition and Performance,"This course assumes knowledge and experience in computer music applications and performance. It is directed to undergraduate students as an upper-level seminar guiding their progress through the composition of a significant musical work. The class is divided between a group seminar, focusing on aesthetic, theoretical, and technical issues, and a workshop/lab in performance, computer applications, and composition.",,Spring term annually.,Cross listed with ARTS 4160; students cannot obtain credit for both courses.,4,ARTS-6160,[],[]
ARTS,6180,Topics in Deep Listening,"This course continues the practice and study of Deep Listening beyond the foundational course ""Deep Listening."" Topics include a wide range of investigations, research, and creativity in Deep Listening.",Vary with topic. Permission of instructor.,Upon availability of instructor.,ARTS 4180.,4,ARTS-6180,[],[]
ARTS,6200,Advanced Drawing,"ARTS 6200 focuses on advanced problem solving through a series of challenging observational drawing projects. Emphasis is placed on developing a sophisticated and convincing use of drawing language to approach traditional subject matter. As students gain greater fluency, they also gain a greater critical awareness and understanding of the artistic decision-making process.",By portfolio review.,Spring term annually.,Cross listed with ARTS 4200; students cannot obtain credit for both courses.,4,ARTS-6200,[],[]
ARTS,6220,Painting,"A painting course in opaque media such as oil or acrylic with emphasis on color interaction, composition, and pictorial design. Using sources from observation and the history of painting, students are taught to see and convey effects of color on/in 2-D pictorial space and to develop critical skills in looking at paintings.",By portfolio review.,Fall term annually.,Cross listed with ARTS 4220; students cannot obtain credit for both courses.,4,ARTS-6220,[],[]
ARTS,6230,Inflatable Sculpture,"This class studies, creates, and publicly presents inflatable sculptures. The history of inflatables are examined, with special attention paid to how they have been used in political movements that imagine utopian social futures, and how those applications contrast with commercial uses (such as advertising) that have become commonplace in public spaces today. Throughout, the class will explore, design, and build inflated structures that may include video and sound elements. Graduate students will also be required to write a paper.",,Upon availability of instructor.,ARTS 4230 Inflatable Sculpture.,4,ARTS-6230,[],[]
ARTS,6240,Eco Chic: Living Art,"Eco Chic: Living Art is an upper level production and theory class about art, biology, and the study of life covering topics such as environmentalism, land art, food art, sustainable practices with art, body art, bio-art. Part lecture, part hands-on workshop, Eco Chic encourages students to redefine and experimentally express their relationships with the varied aspects of everyday living systems and manipulating life.",,Spring term even-numbered years,Cross listed with ARTS 4240 and may not be taken for credit twice under different numbers.,4,ARTS-6240,[],[]
ARTS,6250,"Art, Community, and Technology","This course explores the complex roles and relationships of art, education, and technology by giving students direct experience in the community. Students will develop a plan to work with a media arts center, community organization, or school; final teams will produce real-world arts and education projects that can become significant additions to their professional portfolio. The projects can include a range of practices including but not limited to traditional arts, creative writing, creative IT, community art, and activism. Graduate students who take this course will write a mid-term and final paper, plus offer an independent public presentation of their work.",Graduate standing.,Upon availability of instructor.,ARTS 4250,4,ARTS-6250,[],[]
ARTS,6260,Life Drawing and Anatomy for Artists,"Life Drawing and Anatomy for Artists is an advanced drawing class that will focus on drawing the human figure. Students will work from live models to refine their drawing skills; clay models from anatomical texts will be made to develop a working knowledge of anatomy for artists. Gesture, proportion, and expression of the human figure will be emphasized; general concepts of design and composition will also be presented.",Portfolio Review,spring term annually.,Cross listed with ARTS 4260; students cannot obtain credit for both courses.,4,ARTS-6260,[],[]
ARTS,6400,Experimental Game Design,"Experimental Game Design is an upper level studio arts course focusing on the creation of innovative, workable game prototypes using a variety of interactive media. Games are considered as a new genre and are analyzed as cultural artifacts. The aesthetics of game design including character development, level design, game play experience, and delivery systems are covered. Flow, game theory, and game play gestalt are considered. Alternate gaming paradigms and emerging forms are encouraged.",CSCI 4520 or COGS 4520 or GSAS 4520 or graduate standing or permission of instructor.,Spring and fall terms annually.,ARTS 4510.,4,ARTS-6400,"['CSCI-4520', 'COGS-4520', 'GSAS-4520']",[]
ARTS,6420,Experimental Telepresence,"Research, plan, create, and execute portfolio projects involving networked improvisation, composition, and performance via Internet and Internet 2. Study and use telematic technology such as Lola, JackTrip, SKYPE, mobile, and other devices in performances with others in distant locations. Participate in multimedia improvisation ensemble (Tintinnabulate) as a resource for implementing projects.",,Spring term annually.,,4,ARTS-6420,[],[]
ARTS,6560,Hactivism,"This course explores the history, methods, and goals of hackers with special attention paid to their role in social movements. It broadly interprets the term ""hacktivism"" to include computer hacking, media hacking, and ""reality hacking"" in the service of social change. Students will gain an understanding of how and why hackers have emerged as a major social force. Graduate students will produce an ethnographic record and analysis of a publicly recognized hacking event or figure.",,Upon availability of instructor.,ARTS 4560 Hactivism.,4,ARTS-6560,[],[]
ARTS,6600,Ensemble Nonlinear,"A technology-based performance ensemble, as well as a practice-based studio course, focused on the composition, design, and programming of new musical works and instruments. Students create and perform electronic music using laptops, microprocessors, digital networks and a range of new interfaces for musical expression. ARTS 4600/6600 combines studio and ensemble. The ensemble only section (ARTS 2600) may be taken multiple times as a 1-credit performance ensemble in partial satisfaction of the Music major or minor ensemble requirements, or once as a 4-credit seminar at either the 4000 or 6000 level.",,Spring term annually.,ARTS 2600 and ARTS 4600.,4,ARTS-6600,[],[]
ARTS,6640,Science Fictions,"Science Fictions is an advanced narrative video production and theory course. The class looks at thematic areas of science fiction, utopia and dystopia, paranormal, and speculative fiction. 'Speculative fiction' is a genre that looks at the real world and extends what we know about it, building on the 'real.' The class has two threads: to study narrative structure and create a series of sci-fi videos; to discuss and analyze mainstream and avant-garde science fictions film and themes from the early 1900s to the present.",,Spring term annually,Cross listed with ARTS 4640; students cannot obtain credit for both courses.,3,ARTS-6640,[],[]
ARTS,6860,Advanced Digital Imaging,"This upper level studio and seminar explores individual visual arts projects contributing to thesis or dissertation development. Topics in creative personal expression in imaging, installation, digital/traditional mixed media and emerging genres will be studied drawing from issues raised in class projects. Advanced studies may include high resolution digital photography, montage, archival printing, gesture drawing, painting, assemblage, processing, stencil art, projection, and evolving genres which lead to an independent final project and web portfolio.",,Spring term annually.,Cross listed with ARTS 4860; students cannot obtain credit for both courses.,4,ARTS-6860,[],[]
ARTS,6900,Arts Graduate Colloquium,"This course provides a forum for interdisciplinary graduate discourse and community at Rensselaer. Students will curate a series of presentations by guest speakers, faculty, and graduate students. Related readings and writing assignments will be based on colloquium presentations. Arts Ph.D. students are required to take the colloquium each semester until the semester they take their qualifying examination and enroll  for dissertation credits.","Prerequisite: graduate standing in any graduate degree program, not just Arts.",Fall and spring terms annually.,,3,ARTS-6900,[],[]
ARTS,6940,Studies in Electronic Arts,Individual and collaborative projects and assignments adapted to the needs of individual students at the graduate level.,,Variable.,,1 to 6,ARTS-6940,[],[]
ARTS,6960,Topics in Electronic Arts,Experimental courses offered for one to two semesters.,,,,3,ARTS-6960,[],[]
ARTS,6990,Master's Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master's thesis. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester. Once the thesis has been presented, approved by the adviser, and accepted by the Office of Graduate Education, it will be archived in a standard format in the library.",Must have passed two Qualifying Reviews.,Fall and spring terms annually.,,1 to 9,ARTS-6990,[],[]
ARTS,9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester, until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library.",Must have passed Qualifying Exam or must be in a semester when taking Qualifying Exam.,Fall and spring terms annually.,,1 to 12,ARTS-9990,[],[]
ASTR,1520,"Stars, Galaxies, and the Cosmos","This course serves as an introduction to astronomy, focusing on understanding the physical nature of stars and galaxies, the vastness of the cosmos, and how astronomers have built up a comprehensive picture of the Universe in which we live through meticulous study.",,Spring term annually.,,4,ASTR-1520,[],[]
ASTR,1960,Topics in Astronomy and Astrophysics,,,,,1,ASTR-1960,[],[]
ASTR,2050,Introductory Astronomy and Astrophysics,"Astronomy for students with a background of college mathematics and physics. Topics include: astrophysical concepts, solar system basics, stellar astronomy and the interstellar medium, the Milky Way system, galaxies, quasars, and cosmology.",Corequisite: PHYS 1200.,Fall term annually.,,4,ASTR-2050,[],['PHYS-1200']
ASTR,2120,Earth and Sky,"An introduction to astronomy from an observational perspective. Students will learn the basics of observing the night-time sky, both with the unaided eye and through telescopic observation. Observations of Earth from orbiting satellites will also be discussed. The course is suitable for nonphysics and nonscience majors as well as those committed to specialization in astronomy. Includes evening laboratory sessions.",,Fall term annually.,,4,ASTR-2120,[],[]
ASTR,2940,Special Projects in Astronomy,Study and research in various fields of astronomy to demonstrate interest in and ability for independent work.,Prerequisite: permission of instructor.,Fall and spring terms annually.,,3,ASTR-2940,[],[]
ASTR,4120,Observational Astronomy,"An introduction to astronomical observing techniques and instrumentation. Optical telescope design. Observatory site selection. Telescopes above the atmosphere. Imaging techniques: photography, charge-coupled devices. Optical photometry, spectroscopy, and polarimetry, and their applications. Infrared techniques and applications. Radio astronomy. Includes evening laboratory sessions.",Prerequisite: ASTR 2050 or permission of instructor.,Spring term annually.,,4,ASTR-4120,['ASTR-2050'],[]
ASTR,4220,Astrophysics,"A survey course in modern astrophysics with an emphasis on stellar astrophysics and interstellar matter; topics include star formation, the structure and observable properties of normal and degenerate stars; and the composition, dynamics, and stability of the interstellar medium.",PHYS 2220 and PHYS 4420 or equivalent.,Fall term annually.,,4,ASTR-4220,"['PHYS-2220', 'PHYS-4420']",[]
ASTR,4240,Gravitation and Cosmology,"Introduction to the physics of gravitation and spacetime. Special relativity, tensor calculus, and relativistic electrodynamics. General relativity with selected applications of Einstein's field equations (gravitational time dilation; gravitational lensing; frame dragging; gravitational radiation). The physics of nonrotating and rotating black holes. Relativistic models for the large-scale structure of the Universe. Observational constraints on the cosmological parameters. Big Bang nucleosynthesis, the Cosmic Background Radiation. A culminating experience project is required. (Meets with PHYS 4240.)",Prerequisite: PHYS 4330 and MATH 4600.,Spring term annually.,Cross listed with PHYS 4240. Students cannot receive credit for both ASTR 4240 and PHYS 4240.,4,ASTR-4240,"['PHYS-4330', 'MATH-4600']",[]
ASTR,4510,Origin of Life: A Cosmic Perspective,"To understand the origin of life is a fundamental goal of science. Discussions include evidence for important prebiotic molecules in the clouds from which new planetary systems are born, and compare cosmic and terrestrial sources of such molecules on the primitive Earth. The course is multidisciplinary, covering topics in physics, astronomy, chemistry, earth sciences, and biology.",Prerequisite: ASTR 2050 or permission of instructor.,Spring term annually.,,3,ASTR-4510,['ASTR-2050'],[]
ASTR,4900,Astrophysics Undergraduate Seminar,Discussion of topics in the current astrophysical literature. Each student is required to give one oral presentation based on a paper or group of papers.,Prerequisite: junior standing or higher or permission of instructor.,Fall and spring terms annually.,,1,ASTR-4900,[],[]
ASTR,4940,Special Projects in Astronomy,Study and research in various fields of astronomy to demonstrate interest in and ability for independent work.,Prerequisite: permission of instructor.,Fall and spring terms annually.,,3,ASTR-4940,[],[]
ASTR,4960,Topics in Astronomy and Astrophysics,,,,,4,ASTR-4960,[],[]
ASTR,6250,Interstellar Medium,"Thermal structure and dynamics of the interstellar medium. Topics include diffuse nebulae, composition of interstellar dust and relation to extinction and polarization, molecules and interstellar chemistry, physics of star-forming regions.",Prerequisite: ASTR 4220.,Consult department about when offered.,,3,ASTR-6250,['ASTR-4220'],[]
ASTR,6940,Readings in Astronomy and Astrophysics,,,,,3,ASTR-6940,[],[]
ASTR,6960,Special Topics in Astronomy and Astrophysics,Supervised reading and study in various fields of astrophysics.,,,,3,ASTR-6960,[],[]
ASTR,6970,Professional Project,"Active participation in a semester-long project, under the supervision of a faculty adviser. A Professional Project often serves as a culminating experience for a Professional Master’s program but, with departmental or school approval, can be used to fulfill other program requirements. With approval, students may register for more than one Professional Project. Professional Projects must result in documentation established by each department or school, but are not submitted to the Office of Graduate Education and are not archived in the library. Grades of A, B, C, or F are assigned by the faculty adviser at the end of the semester. If not completed on time, a formal Incomplete grade may be assigned by the faculty adviser, listing the work remaining to be completed and the time limit for completing this work.",,,,,ASTR-6970,[],[]
BCBP,2900,Research in Biochemistry/Biophysics,Hands-on research in a faculty member's research laboratory.,Permission of instructor.,"Fall, spring, and summer terms annually.",,1 to 4,BCBP-2900,[],[]
BCBP,2930,Out-of-Classroom Experience in Biochemistry/Biophysics,"Credit to be given for an out-of-classroom experience related to biochemistry and/or biophysics (BCBP) having intellectual content relevant to the student’s educational or career goals, subject to approval of a written proposal and a final written report. The adviser (for BCBP majors) or, with permission, any BCBP faculty member may serve as evaluator. For each out-of-classroom experience a student may register only once.",,,,1 to 4,BCBP-2930,[],[]
BCBP,2940,Readings in Biochemistry/Biophysics,"Independent study of selected readings in the fields of biochemistry and biophysics, supervised by a faculty member.",Permission of instructor.,Fall and spring terms annually.,,1 to 4,BCBP-2940,[],[]
BCBP,4310,Genetic Engineering,"In this course, students will explore the molecular methods and applications of recombinant DNA technology and the issues regarding their use through case studies on the effect of genetic engineering in medicine, agriculture, biology, forensics, and various other areas of technology. The course has three major components: 1) techniques used in the generation of recombinant molecules, 2) application of recombinant technology to diagnostics and therapeutics and 3) genetically modified organisms. (Students cannot obtain credit for both this course and BCBP 6310.)","Prerequisites or corequisites: BCBP 4760 and BIOL 4620, or permission of instructor.",Spring term annually.,,4,BCBP-4310,"['BCBP-4760', 'BIOL-4620']","['BCBP-4760', 'BIOL-4620']"
BCBP,4470,Muscle & Cardiac Biology,"This is an in-depth study of current papers within the broad field of Muscle & Cardiac Biology. Students will read and critique primary papers, present current research articles, and lead critical discussions of topics listed in the class schedule.",BIOL 4270 or permission of the instructor,,"BIOL 4470, BIOL 6470, and BCBP 6470. Students cannot receive credit for more than one of these courses.",2,BCBP-4470,['BIOL-4270'],[]
BCBP,4550,Molecular Modeling,"This course covers the theory and practice of the structural modeling of proteins and other biomolecules using informatics-driven and energy-based approaches. Topics include template-based comparative modeling, secondary structure prediction, tertiary structure prediction, protein classification, sidechain rotamers, docking, protein design, energy minimization, electrostatics, molecular dynamics, and molecular surfaces. Molecular modeling software will be provided. Laptop computers are required. BIOL 4550, BIOL 6420, BCBP 4550, and BCBP 6420 meet jointly; only one of these courses can be taken for credit.","Prerequisite: MATH 1020, BIOL 4620, BIOL 4760.",Spring term annually.,"BIOL 4550/6420, BCBP 6420.",4,BCBP-4550,"['MATH-1020', 'BIOL-4620', 'BIOL-4760']",[]
BCBP,4660,The Biology of Systems,"This course is designed to be a first course in the study of ""systems biology"", to introduce students to the field, the experimental and computational methods that are used within it, and the type of insights that the field can provide to biology. To fully appreciate the complexity of living systems, researchers gather systematic, quantitative measurements of a system's components using cutting-edge omics techniques. In addition, researchers also leverage computing power to describe, model, and predict dynamic behaviors that could otherwise not be perceived in such large-scale omics data. Along with these topics, students will learn to critically read current scientific literature. A student cannot get credit for both BCBP/BIOL 4660 and BCBP/BIOL 6650.",BIOL 4620 (or equivalent) and BCBP 4760 (or equivalent) or permission of the instructor.,Spring term annually.,"BIOL 4660, BIOL 6660.",4,BCBP-4660,"['BIOL-4620', 'BCBP-4760']",[]
BCBP,4710,Biochemistry Laboratory,"Major principles of biochemistry are illustrated as students purify and analyze specific proteins. Experience is obtained with various techniques including protein extraction from bacteria and tissues, chromatography, ultracentrifugation, spectrophotometric analysis, and electrophoresis. The course includes extensive hands-on laboratory work, as well as the writing of in-depth reports. (Students cannot obtain credit for both this course and BIOL 4710.) This is a communication-intensive course.","Prerequisite: BIOL 1010, BIOL 2120.",Spring term annually.,,6,BCBP-4710,"['BIOL-1010', 'BIOL-2120']",[]
